,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
60,0.11519761085510254,0.0014930747712073845,0.01739492416381836,0.00031193477644496327,entropy,5,2,50,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.6041237113402061,0.6028225806451613,0.6193415637860082,0.6128364389233955,0.6133909287257019,0.6104989830129309,0.0061940911211908365,104,0.9331210191082803,0.9522292993630573,0.9585987261146497,0.9456869009584664,0.9073482428115016,0.9394168754242619,0.018098881781864386,15,0.7334167709637046,0.7382716049382716,0.7525,0.7437185929648241,0.731958762886598,0.7399764671883692,0.007499265452538753,14
61,0.22597956657409668,0.002109564972497954,0.030860376358032227,0.00045437723482564385,entropy,5,2,100,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.6098562628336756,0.610337972166998,0.6134969325153374,0.609504132231405,0.6139240506329114,0.6114234185453675,0.0018899526619363368,96,0.945859872611465,0.9777070063694268,0.9554140127388535,0.9424920127795527,0.9297124600638977,0.9502590641012677,0.016012017546428427,3,0.7415730337078652,0.7515299877600979,0.7471980074719801,0.740276035131744,0.7395171537484119,0.7440252570204552,0.0046219648962142704,4
62,0.4512948989868164,0.0037945565773307593,0.05837349891662598,0.0016223148751563277,entropy,5,2,200,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.6069246435845214,0.6067864271457086,0.6141078838174274,0.6078028747433265,0.6115702479338843,0.6094380293759053,0.0029125101089811476,115,0.9490445859872612,0.9681528662420382,0.9426751592356688,0.9456869009584664,0.9456869009584664,0.950256380897645,0.009181289683291318,4,0.7403726708074533,0.7460122699386503,0.7437185929648241,0.74,0.7427854454203261,0.7425796395806126,0.002220813954681288,6
63,0.11519980430603027,0.002772100383718368,0.01732163429260254,0.00015237848993510198,entropy,5,3,50,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 50}",0.6112266112266113,0.604887983706721,0.6268343815513627,0.6098562628336756,0.6101694915254238,0.6125989633900567,0.007453775120198472,87,0.9363057324840764,0.945859872611465,0.9522292993630573,0.9488817891373802,0.9201277955271565,0.9406905067013168,0.011559842696723882,12,0.7396226415094339,0.737888198757764,0.7560050568900126,0.7424999999999999,0.7337579617834394,0.7419607240104503,0.007577004468614241,8
64,0.22749614715576172,0.0007685412893884917,0.03142285346984863,0.001111377868483557,entropy,5,3,100,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 100}",0.6094069529652352,0.6027944111776448,0.6168032786885246,0.6127049180327869,0.6193548387096774,0.6122069413718622,0.005813183017310017,89,0.9490445859872612,0.9617834394904459,0.9585987261146497,0.9552715654952076,0.9201277955271565,0.9489827496205899,0.015012324908161243,5,0.7422166874221668,0.7411042944785277,0.7506234413965088,0.7465667915106118,0.7403598971722365,0.7441753283906498,0.0038771202214508255,3
65,0.4504427433013916,0.0016565704684450102,0.05805516242980957,0.0005261593932164751,entropy,5,3,200,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 200}",0.6078028747433265,0.6024096385542169,0.6239669421487604,0.6116700201207244,0.6120331950207469,0.6115761061541896,0.0071049730086949064,94,0.9426751592356688,0.9554140127388535,0.9617834394904459,0.9712460063897763,0.9424920127795527,0.9547187859736773,0.011112176668678747,2,0.739076154806492,0.7389162561576355,0.7568922305764411,0.7506172839506172,0.7421383647798744,0.7455267359751594,0.007101043207483261,2
66,0.1132781982421875,0.0017595532681841204,0.01719498634338379,5.3739357332774076e-05,entropy,5,5,50,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.6093117408906883,0.6023856858846919,0.6282051282051282,0.609504132231405,0.6137339055793991,0.6126296885304956,0.008603060704755982,86,0.9585987261146497,0.964968152866242,0.9363057324840764,0.9424920127795527,0.9137380191693291,0.9432440300638798,0.01803417460723568,10,0.7450495049504952,0.7417380660954713,0.751918158567775,0.740276035131744,0.7342747111681643,0.7426596591221042,0.005800616491735665,5
67,0.2259054660797119,0.003128812411039327,0.03081536293029785,0.0002620814319412093,entropy,5,5,100,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.6107660455486542,0.6043737574552683,0.6168032786885246,0.6119096509240246,0.6051502145922747,0.6098025663482971,0.0045947162717330054,113,0.9394904458598726,0.9681528662420382,0.9585987261146497,0.952076677316294,0.9009584664536742,0.9438824109045205,0.023372429116355724,8,0.740276035131744,0.7441860465116278,0.7506234413965088,0.7449999999999999,0.7240051347881902,0.740827957414189,0.009026764730871538,11
68,0.45200462341308595,0.00317443578847898,0.05789856910705567,0.00029962401195791113,entropy,5,5,200,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.6065573770491803,0.602,0.6206185567010309,0.6097560975609756,0.6080508474576272,0.6093973429311171,0.006179523209759673,116,0.9426751592356688,0.9585987261146497,0.9585987261146497,0.9584664536741214,0.9169329073482428,0.9470689487004791,0.016255965740494746,6,0.7381546134663343,0.7395577395577395,0.753441802252816,0.7453416149068322,0.7312101910828026,0.741546272438849,0.007458709129789823,9
69,0.11378488540649415,0.0015030059005847153,0.017271995544433594,9.38109700836224e-05,entropy,5,7,50,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 50}",0.6150627615062761,0.6047904191616766,0.6168032786885246,0.6050420168067226,0.6115879828326181,0.6106609359718271,0.004981282035750563,100,0.9363057324840764,0.964968152866242,0.9585987261146497,0.9201277955271565,0.9105431309904153,0.9381441385484143,0.021104227773616178,17,0.7424242424242424,0.743558282208589,0.7506234413965088,0.730038022813688,0.7317073170731707,0.7396839486064056,0.007729402405962138,15
70,0.22474966049194336,0.0016375442006609365,0.030533981323242188,0.00020133860502117686,entropy,5,7,100,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 100}",0.6045081967213115,0.597979797979798,0.6138211382113821,0.6069246435845214,0.6150627615062761,0.6076541198994603,0.006277458152803452,120,0.9394904458598726,0.9426751592356688,0.9617834394904459,0.952076677316294,0.939297124600639,0.94706671269746,0.0087062123658961,7,0.7356608478802994,0.7317676143386898,0.749379652605459,0.7412935323383085,0.7433628318584071,0.740289729275576,0.006121793233853825,12
71,0.4477547168731689,0.003329961718486285,0.057849454879760745,0.0008331978085969775,entropy,5,7,200,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 200}",0.6040816326530613,0.6063618290258449,0.6189516129032258,0.6080808080808081,0.6200417536534447,0.6114995478722168,0.006657739347979916,95,0.9426751592356688,0.9713375796178344,0.9777070063694268,0.9616613418530351,0.9488817891373802,0.9604606359346137,0.013178789650359622,1,0.7363184079601991,0.7466340269277845,0.7580246913580246,0.745049504950495,0.7499999999999999,0.7472048292712167,0.007052740730844889,1
72,0.1321577548980713,0.001835315345559942,0.019318771362304688,0.00032299927688861455,entropy,7,2,50,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 50}",0.6173913043478261,0.6038135593220338,0.6102449888641426,0.611353711790393,0.6103603603603603,0.6106324360436981,0.004314302271504431,102,0.9044585987261147,0.9076433121019108,0.8726114649681529,0.8945686900958466,0.865814696485623,0.8890330866788511,0.016874193975558113,35,0.7338501291989664,0.7251908396946564,0.7182175622542595,0.7263294422827496,0.7159841479524437,0.7239187146370338,0.006349321944692097,45
